key,year,season,observe_date,previous_cutting_date,location_1,location_2,location_3,location_4,cultivar,tea_kind,sample_label,replication,G1L,G2L,G3L,G4L,G5L,G6L,G7L,G8L,G9L,O1L,O2L,O3L,O4L,O5L,O6L,O7L,O8L,O9L,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
1082ndDP1,108,2nd,2019/5/13,2019/3/26,9,3,60,南東,DP,fresh leaves,1,1,0,0,1,1,2,6,3,0,0,0,4,18,24,11,7,0,0,0,60,9.31,3.6,2.482333333,0.5,112,65.44851952,20.93276366,2.117893919,17.57964025,0.865824468,2.773015281,5.82505438,30.28018434,4.860523476,43.68387902,4.763182422,8.350688695,,100.5365276
1082ndDP2,108,2nd,2019/5/13,2019/3/26,9,2,40,中中,DP,fresh leaves,2,2,0,0,0,1,2,0,0,0,0,0,0,12,25,7,1,0,0,0,60,8.08,3.7,1.980666667,0.6,116,67.26107468,23.62667185,1.639047903,18.07247659,0.841175963,2.902099152,6.689246722,32.23928985,5.070131436,45.04260376,5.017332957,8.472919717,,105.4336236
1082ndDP3,108,2nd,2019/5/13,2019/3/26,9,2,20,北西,DP,fresh leaves,3,3,0,0,0,2,2,2,1,0,0,0,2,15,10,7,1,0,1,0,60,9.32,4.2,2.063142857,0.5,127,68.9226765,18.3274477,1.561643429,18.26637837,0.73546683,2.881705558,6.685829866,33.33850328,5.513362146,50.17348776,5.121614528,9.401850649,,113.1163538
1082ndFS1,108,2nd,2019/4/26,2019/3/14,5,2,130,NULL,FS,fresh leaves,1,1,0,0,3,9,8,1,0,0,0,0,0,8,6,0,0,0,0,0,53,13.37,4.7,2.778071429,0.2,211,87.80416227,18.23426333,4.429748764,15.64187458,0.608603117,1.428553464,0.301156592,14.9887717,4.664523515,35.11974811,3.605314802,6.061088358,,66.16915654
1082ndFS2,108,2nd,2019/4/26,2019/3/14,5,2,110,NULL,FS,fresh leaves,2,2,0,0,1,3,2,5,2,1,0,0,2,6,4,6,0,0,0,0,53,16.76,5.8,2.838055556,0.2,204,91.60388144,20.28386579,4.833744379,15.96645453,0.706541406,1.629493478,0.312602347,15.1268531,4.780809161,34.76119973,3.614694546,5.924264434,,66.1499168
1082ndFS3,108,2nd,2019/4/26,2019/3/14,5,1,40,NULL,FS,fresh leaves,3,3,0,1,4,3,5,2,1,0,0,0,1,4,2,1,1,0,0,0,53,17.26,5.4,3.130976191,0.1,213,86.85615861,19.55739503,4.285126362,15.5107868,0.646661502,1.642519657,0.309434512,14.81782268,4.641183147,34.17894338,3.568753347,5.831355848,,64.99001257
1082ndT81,108,2nd,2019/5/7,2019/3/20,11,2,20,北西,T8,fresh leaves,1,1,0,5,16,11,9,4,2,0,0,0,0,0,0,5,3,2,0,0,65,8.49,3.5,2.254166667,0.6,174,101.4758449,23.61354764,1.747909203,25.895,1.691482635,0.901433198,7.313207597,23.26247845,3.096133432,60.71733603,4.733677841,9.00753916,,109.0318057
1082ndT82,108,2nd,2019/5/7,2019/3/20,11,2,50,中中,T8,fresh leaves,2,2,0,5,20,23,4,6,0,0,0,0,0,0,0,0,2,0,0,0,65,7.71,4,1.814833333,0.8,170,109.0297878,22.01281067,1.617901741,28.095,1.709645198,1.531449751,8.959510349,26.78084752,3.715018312,66.1926578,5.417934879,9.874143722,,122.4715623
1082ndT83,108,2nd,2019/5/7,2019/3/20,11,2,90,南東,T8,fresh leaves,3,3,0,5,9,18,15,8,2,0,0,0,0,0,4,2,4,2,0,0,65,7.29,3.9,1.815666667,0.6,161,110.9095164,22.0864117,1.299062172,27.925,1.638292229,1.28190682,8.371278984,23.89413717,3.295863958,66.81167363,5.486615377,9.431123641,,118.5725996
1082ndT121,108,2nd,2019/4/25,2019/3/11,6,3,50,NULL,T12,fresh leaves,1,1,0,0,2,9,7,0,0,0,0,0,0,11,12,6,0,0,0,0,57,9.61,3.9,2.497,0.3,109.8,97.49789928,13.05407195,4.532028781,13.3745452,1.46866654,0,0.171009192,19.98243187,2.428830118,19.71588706,2.428479814,3.62662144,,48.3532595
