season,tea_kind,code,replication,polyphenol,FAA,Theanine,caffeine,Gallic Acid,C,GC,EGC,EC,EGCG,GCG,ECG,total_catechins,sample_label
2nd,fresh leaves,DP,1,66.42809777,20.72384668,2.092358243,17.48843737,0.857222103,2.755705168,5.719764894,30.11980358,4.777936485,42.60248276,4.600987594,8.163027974,98.73970846,1
2nd,fresh leaves,DP,2,64.46894126,21.14168063,2.143429595,17.67084313,0.874426832,2.790325394,5.930343865,30.44056509,4.943110467,44.76527527,4.92537725,8.538349415,102.3333467,1
2nd,fresh leaves,DP,1,69.74735819,24.18154874,1.712034242,17.95376045,0.847702094,2.891800178,6.397777693,31.90338959,5.080943172,44.84476663,4.993988457,8.449344645,104.5620104,2
2nd,fresh leaves,DP,2,64.77479117,23.07179495,1.566061563,18.19119272,0.834649832,2.912398125,6.980715751,32.57519011,5.059319699,45.24044089,5.040677456,8.496494788,106.3052368,2
2nd,fresh leaves,DP,1,69.07556754,18.07150067,1.57081534,18.22244881,0.728891561,2.813972324,6.391417056,32.53734436,5.405623342,49.7735001,4.993526783,9.378198715,111.2935827,3
2nd,fresh leaves,DP,2,68.76978546,18.58339473,1.552471517,18.31030792,0.742042099,2.949438791,6.980242676,34.1396622,5.62110095,50.57347542,5.249702273,9.425502582,114.9391249,3
2nd,fresh leaves,FS,1,92.01551482,17.68543866,4.372862961,16.36977666,0.633645499,1.313943095,0.302675294,15.09213181,4.876334248,37.64720712,3.883658311,6.722136217,69.8380861,1
2nd,fresh leaves,FS,2,83.59280971,18.783088,4.486634567,14.9139725,0.583560734,1.543163833,0.299637889,14.88541159,4.452712781,32.5922891,3.326971293,5.400040499,62.50022698,1
2nd,fresh leaves,FS,1,89.71175577,19.60765127,4.841015817,15.81225803,0.70223723,1.607058815,0.308260908,14.79709484,4.668585817,34.32713112,3.602123988,5.884189902,65.19444539,2
2nd,fresh leaves,FS,2,93.4960071,20.9600803,4.826472941,16.12065102,0.710845582,1.65192814,0.316943786,15.45661136,4.893032505,35.19526834,3.627265104,5.964338966,67.1053882,2
2nd,fresh leaves,FS,1,89.73021392,19.41947128,4.312317545,15.42158863,0.602990435,1.622956901,0.313374773,15.28330616,4.63841175,34.71778398,3.610158277,5.931093369,66.1170852,3
2nd,fresh leaves,FS,2,83.98210329,19.69531878,4.257935178,15.59998496,0.690332569,1.662082412,0.30549425,14.3523392,4.643954543,33.64010278,3.527348417,5.731618326,63.86293993,3
2nd,fresh leaves,T8,1,101.8411472,22.70043624,1.657720334,25.7,1.666644092,0.907079543,7.288966113,23.17006107,3.056323168,59.53606256,4.642436876,8.877492598,107.4784219,1
2nd,fresh leaves,T8,2,101.1105426,24.52665903,1.838098072,26.09,1.716321177,0.895786852,7.337449081,23.35489582,3.135943696,61.89860949,4.824918806,9.137585722,110.5851895,1
2nd,fresh leaves,T8,1,112.9201396,22.08563423,1.711900938,28.18,1.723804359,1.727888661,9.200245196,27.4752278,4.009484919,66.58993403,5.620465691,10.05353783,124.6767841,2
2nd,fresh leaves,T8,2,105.139436,21.9399871,1.523902543,28.01,1.695486036,1.335010841,8.718775502,26.08646724,3.420551705,65.79538157,5.215404067,9.694749613,120.2663405,2
2nd,fresh leaves,T8,1,100.6960756,23.05665062,1.362678436,27.49,1.620366452,0.969181095,7.970619005,22.920771,3.067484373,65.61414116,5.27505878,9.2512042,115.0684596,3
2nd,fresh leaves,T8,2,121.1229572,21.11617277,1.235445908,28.36,1.656218005,1.594632545,8.771938963,24.86750333,3.524243543,68.0092061,5.698171973,9.611043081,122.0767395,3
2nd,fresh leaves,T12,1,94.57147046,12.76638418,4.434786442,13.46821777,1.468366861,0,0.160887301,18.57910785,2.464849182,20.15571725,2.459119184,3.704584524,47.52426529,1
2nd,fresh leaves,T12,2,100.4243281,13.34175971,4.629271119,13.28087262,1.468966218,0,0.181131082,21.38575589,2.392811054,19.27605687,2.397840444,3.548658356,49.1822537,1
2nd,fresh leaves,T12,1,104.1039704,11.60512022,4.370211453,14.57695229,1.58010669,0,0.165368797,10.66309207,2.541946416,21.4547636,2.543749358,4.075867172,41.44478741,2
2nd,fresh leaves,T12,2,106.4378657,12.36910843,4.296290292,13.77088259,1.512905197,0,0.152165667,17.77814847,2.394562431,20.00657765,2.431951176,3.767964252,46.53136965,2
2nd,fresh leaves,T12,1,106.8615241,12.14763769,3.311257221,11.13081404,1.100171426,0,0.153964666,13.74872548,2.642799399,21.78473681,2.487424929,3.87799367,44.69564496,3
2nd,fresh leaves,T12,2,110.9696223,12.67545221,3.348787497,11.28784834,1.128422581,0,0.186908281,11.59190182,2.692011,22.50887429,2.543481593,4.016813962,43.53999095,3
2nd,fresh leaves,T17,1,93.71239669,13.81618568,1.256096463,20.54483338,1.160405562,2.039989965,6.291681382,25.29379252,5.800683952,42.25752373,4.676989969,8.965008118,95.32566964,1
2nd,fresh leaves,T17,2,85.10145914,12.98589437,1.210467869,19.57281951,1.05812531,2.057816301,6.009676934,23.77842198,5.59352072,40.6202364,3.635025574,8.598615863,90.29331377,1
2nd,fresh leaves,T17,1,93.90652339,15.91748866,1.619978091,21.41378178,1.524666241,1.892474066,6.200000519,28.19215563,5.436221541,40.82589368,4.885657791,9.35334177,96.78574499,2
