year,observe_date,cultivar,location_1,location_2,location_3,season,cutting_date,replication,G1L,G2L,G3L,G4L,G5L,G6L,G7L,G8L,G9L,O1L,O2L,O3L,O4L,O5L,O6L,O7L,O8L,O9L
108,43592,T8,,20,北西,2nd,2019/3/20,1,0,5,16,11,9,4,2,0,0,0,0,0,0,5,3,2,0,0
108,43592,T8,,50,中中,2nd,2019/3/20,2,0,5,20,23,4,6,0,0,0,0,0,0,0,0,2,0,0,0
108,43592,T8,,90,南東,2nd,2019/3/20,3,0,5,9,18,15,8,2,0,0,0,0,0,4,2,4,2,0,0
108,43580,T12,6_3,50,,2nd,2019/3/11,1,0,0,2,9,7,0,0,0,0,0,0,11,12,6,0,0,0,0
108,43580,T12,6_4,90,,2nd,2019/3/11,2,0,0,0,6,11,1,0,0,0,0,0,2,11,6,0,0,0,0
108,43580,T12,6_2,20,,2nd,2019/3/11,3,0,0,1,3,4,1,0,0,0,0,0,6,7,9,0,0,0,0
108,43584,T17,3_3,150,,2nd,2019/3/8,1,0,0,0,0,3,1,1,0,0,0,0,0,6,9,10,7,1,0
108,43584,T17,3_2,129,,2nd,2019/3/8,2,0,0,2,0,5,6,3,1,0,0,2,1,7,7,7,1,0,0
108,43584,T17,3_1,100,,2nd,2019/3/8,3,0,0,0,0,0,7,2,0,0,0,0,0,4,9,16,3,0,0
108,43599,T18,,180,南東,2nd,2019/3/21,1,1,2,4,1,3,2,0,0,0,0,0,2,9,19,4,0,0,0
108,43599,T18,,150,中中,2nd,2019/3/21,2,0,0,3,8,11,5,4,0,0,0,2,5,5,2,2,0,0,0
108,43599,T18,,111,北西,2nd,2019/3/21,3,0,2,9,8,12,6,0,0,0,0,0,3,1,0,0,0,0,0
108,43594,T20,,50,北東,2nd,2019/3/25,1,0,0,0,0,3,4,0,0,0,0,5,13,13,5,0,0,0,0
108,43594,T20,,90,中西,2nd,2019/3/25,2,0,1,0,0,2,0,0,0,0,0,4,16,15,6,1,0,0,0
108,43594,T20,,120,南中,2nd,2019/3/25,3,0,0,1,0,0,0,0,0,0,0,4,12,14,5,1,1,0,0
108,43598,DP,9_3,60,南東,2nd,2019/3/26,1,0,0,1,1,2,6,3,0,0,0,4,18,24,11,7,0,0,0
108,43598,DP,9_2,40,中中,2nd,2019/3/26,2,0,0,0,1,2,0,0,0,0,0,0,12,25,7,1,0,0,0
108,43598,DP,9_2,20,北西,2nd,2019/3/26,3,0,0,0,2,2,2,1,0,0,0,2,15,10,7,1,0,1,0
108,43581,FS,5_2,130,,2nd,2019/3/14,1,0,0,3,9,8,1,0,0,0,0,0,8,6,0,0,0,0,0
108,43581,FS,5_2,110,,2nd,2019/3/14,2,0,0,1,3,2,5,2,1,0,0,2,6,4,6,0,0,0,0
108,43581,FS,5_1,40,,2nd,2019/3/14,3,0,1,4,3,5,2,1,0,0,0,1,4,2,1,1,0,0,0
108,43651,T8,,100,西,3rd,2020/5/8,1,0,0,2,0,0,0,1,0,0,0,8,19,25,14,6,0,0,0
108,43651,T8,,120,中,3rd,2020/5/8,2,0,0,0,0,0,1,0,0,0,0,2,14,30,12,4,0,0,0
108,43651,T8,,140,東,3rd,2020/5/8,3,0,0,0,2,0,3,1,0,0,0,2,5,12,24,6,0,0,0
108,43634,T12,6_3,50,南西,3rd,2020/4/26,1,0,0,0,4,12,20,10,0,0,0,0,0,9,6,3,0,0,0
108,43634,T12,6_4,110,中中,3rd,2020/4/26,2,0,0,0,1,5,13,14,0,0,0,0,2,5,2,3,0,0,0
108,43634,T12,6_4,83,北東,3rd,2020/4/26,3,0,1,2,2,7,15,9,1,0,0,0,3,6,1,2,1,0,0
108,43640,T17,3_3,50,北西,3rd,2020/4/29,1,0,0,0,0,0,0,8,4,0,0,0,1,9,21,10,2,0,1
108,43640,T17,3_2,80,中中,3rd,2020/4/29,2,0,0,0,0,1,4,1,7,0,0,0,2,3,16,10,9,2,0
108,43640,T17,3_2,160,南東偏中,3rd,2020/4/29,3,0,0,0,0,0,0,2,2,0,0,0,3,18,25,19,2,0,0
108,43662,T18,,224,北西,3rd,2020/5/16,1,0,0,0,0,0,1,0,0,0,0,0,0,3,10,10,10,2,0
108,43662,T18,,150,中中,3rd,2020/5/16,2,0,0,0,0,0,0,7,1,0,0,0,0,1,8,2,5,1,0
108,43662,T18,,125,南東,3rd,2020/5/16,3,0,0,0,0,1,0,5,3,1,0,0,1,1,5,11,4,0,0
108,43647,T20,,50,北東,3rd,2020/5/10,1,0,0,0,1,4,12,2,0,0,0,0,2,14,23,10,2,0,0
108,43647,T20,,90,中中,3rd,2020/5/10,2,0,0,0,2,4,5,3,0,0,0,0,5,27,19,2,0,0,0
108,43647,T20,,120,南西,3rd,2020/5/10,3,0,0,0,5,6,9,3,0,0,0,0,11,8,11,5,0,0,0
108,43637,FS,5_2,140,南西,3rd,2020/4/28,1,0,0,0,0,2,7,2,9,0,0,0,0,4,6,4,2,0,0
108,43637,FS,5_2,120,中中,3rd,2020/4/28,2,0,0,1,1,0,5,7,5,1,0,0,1,2,7,2,1,1,0
