month,DAY,date,MEAN.TEMP,HIGH,TIME,LOW,TIME.1,HEAT.DEG.DAYS,COOL.DEG.DAYS,RAIN,SPEED,HIGH.1,TIME.2,DIR
2019January,1,2019/1/1,20.4,25.5,2:00p,16.9,7:30a,0.3,2.4,0,0,1.8,11:00p,E
2019January,2,2019/1/2,20.2,23.8,2:00p,17.9,6:30a,0,1.9,0.5,0,3.1,6:00p,N
2019January,3,2019/1/3,21.3,27.7,2:30p,16.9,7:00a,0.2,3.2,0.3,0.2,3.6,4:30p,N
2019January,4,2019/1/4,21.7,26.7,4:00p,16.9,6:30a,0.2,3.5,0,0,3.6,12:30p,N
2019January,5,2019/1/5,23.9,30.8,1:30p,17.8,7:00a,0,5.6,0,0.1,2.2,2:30a,W
2019January,6,2019/1/6,23.1,29.6,2:30p,18.9,6:30a,0,4.8,0,0.1,4,4:30p,E
2019January,7,2019/1/7,22.5,29.4,12:30p,17.2,7:00a,0.1,4.3,0,0.1,4,4:00p,SW
2019January,8,2019/1/8,22.9,30.1,2:30p,18.1,7:30a,0,4.6,0,0.3,4.9,3:30p,N
2019January,9,2019/1/9,23.1,30.6,2:30p,17.7,7:30a,0,4.8,0,0.2,4.9,3:30p,ESE
2019January,10,2019/1/10,23.2,29.8,1:30p,18,7:30a,0,4.9,0,0.1,4,2:30p,ESE
2019January,11,2019/1/11,24.2,30.8,3:30p,18.8,7:30a,0,5.9,0,0.2,3.6,12:00p,E
2019January,12,2019/1/12,23.9,31.2,2:00p,18.8,6:30a,0,5.7,0,0.2,4,2:30p,E
2019January,13,2019/1/13,23.1,29.4,12:30p,19.4,7:30a,0,4.7,0,0.2,4.5,3:00p,E
2019January,14,2019/1/14,22.3,29.1,1:00p,17.5,8:00a,0,4.1,0,0.1,4.5,3:30p,ESE
2019January,15,2019/1/15,22.1,28.1,1:30p,18.7,6:30a,0,3.8,1.3,0.2,3.6,3:00p,ESE
2019January,16,2019/1/16,20.1,23.7,3:00p,18.2,9:30a,0,1.7,1.5,0.1,3.6,6:30p,N
2019January,17,2019/1/17,19.2,23.4,2:00p,15.7,11:30p,0.4,1.3,0,0.3,3.6,11:30a,N
2019January,18,2019/1/18,19.4,26,2:00p,14.6,8:00a,1,2.2,0,0.2,5.4,3:00p,N
2019January,19,2019/1/19,20.7,26.2,1:00p,17.9,6:30a,0,2.4,0.8,0.1,4,4:30p,W
2019January,20,2019/1/20,21.2,26.3,4:30p,18.3,12:30a,0,2.9,2,0.2,4,9:00a,N
2019January,21,2019/1/21,18.4,22.3,4:00p,15.5,12:00m,0.7,0.9,0,0.3,4.9,6:00p,N
2019January,22,2019/1/22,17.5,22.9,2:30p,14.9,6:30a,1.7,1,0,0.3,4,3:30p,N
2019January,23,2019/1/23,17.7,24.2,2:00p,11.4,7:30a,2.2,1.6,0,0,3.1,3:00p,N
2019January,24,2019/1/24,19.2,27.1,2:30p,12.3,7:00a,1.7,2.6,0,0.1,3.1,12:00p,W
