month,DAY,MEAN.TEMP,HIGH,LOW,HEAT.DEG.DAYS,COOL.DEG.DAYS,RAIN,SPEED,HIGH.1,RH%,SOLAR RAD(H),SOLAR RAD(MJ/M2)
2019January,1,20.4,25.5,16.9,0.3,2.4,0,0,1.8,79.4,1.6,7.15
2019January,2,20.2,23.8,17.9,0,1.9,0.5,0,3.1,87.2,0.3,5.39
2019January,3,21.3,27.7,16.9,0.2,3.2,0.3,0.2,3.6,80.6,5.2,10.83
2019January,4,21.7,26.7,16.9,0.2,3.5,0,0,3.6,81.3,3.8,9.17
2019January,5,23.9,30.8,17.8,0,5.6,0,0.1,2.2,79.7,6.1,11.47
2019January,6,23.1,29.6,18.9,0,4.8,0,0.1,4,81.7,4.8,11.12
2019January,7,22.5,29.4,17.2,0.1,4.3,0,0.1,4,81.2,4.9,10.11
2019January,8,22.9,30.1,18.1,0,4.6,0,0.3,4.9,81.7,7.3,14.04
2019January,9,23.1,30.6,17.7,0,4.8,0,0.2,4.9,80.7,7.4,13.42
2019January,10,23.2,29.8,18,0,4.9,0,0.1,4,80.9,5,9.8
2019January,11,24.2,30.8,18.8,0,5.9,0,0.2,3.6,76.9,7.5,16.18
2019January,12,23.9,31.2,18.8,0,5.7,0,0.2,4,76.2,5.7,10.3
2019January,13,23.1,29.4,19.4,0,4.7,0,0.2,4.5,80.7,3.6,9
2019January,14,22.3,29.1,17.5,0,4.1,0,0.1,4.5,80.1,5.3,10.9
2019January,15,22.1,28.1,18.7,0,3.8,1.3,0.2,3.6,84.8,2.8,7.08
2019January,16,20.1,23.7,18.2,0,1.7,1.5,0.1,3.6,88.7,0.9,5.51
2019January,17,19.2,23.4,15.7,0.4,1.3,0,0.3,3.6,83.5,2.3,7.52
2019January,18,19.4,26,14.6,1,2.2,0,0.2,5.4,76.8,6.1,13.7
2019January,19,20.7,26.2,17.9,0,2.4,0.8,0.1,4,76.3,2.5,7.31
2019January,20,21.2,26.3,18.3,0,2.9,2,0.2,4,81.8,3.6,10.52
2019January,21,18.4,22.3,15.5,0.7,0.9,0,0.3,4.9,84.1,1.1,5.08
