year,season,date,location,cultivar,sample_label,replication,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100
108,2nd,43593,11月2日,T8,3,1,65,6.8,3,2.266666667,0,161
108,2nd,43593,11月2日,T8,3,2,65,4.5,3,1.5,0,161
108,2nd,43593,11月2日,T8,3,3,65,7.3,4,1.825,1,161
108,2nd,43593,11月2日,T8,3,4,65,6,4,1.5,1,161
108,2nd,43593,11月2日,T8,3,5,65,8.3,5,1.66,1,161
108,2nd,43593,11月2日,T8,3,6,65,5.8,3,1.933333333,1,161
108,2nd,43593,11月2日,T8,3,7,65,4.9,4,1.225,1,161
108,2nd,43593,11月2日,T8,3,8,65,13.2,5,2.64,0,161
108,2nd,43593,11月2日,T8,3,9,65,2.9,3,0.966666667,1,161
108,2nd,43593,11月2日,T8,3,10,65,13.2,5,2.64,0,161
108,2nd,43593,11月2日,T8,1,11,65,14.9,5,2.98,1,174
108,2nd,43593,11月2日,T8,1,12,65,11.8,5,2.36,1,174
108,2nd,43593,11月2日,T8,1,13,65,4.7,2,2.35,0,174
108,2nd,43593,11月2日,T8,1,14,65,7,3,2.333333333,1,174
108,2nd,43593,11月2日,T8,1,15,65,17.3,5,3.46,0,174
108,2nd,43593,11月2日,T8,1,16,65,7.7,3,2.566666667,0,174
108,2nd,43593,11月2日,T8,1,17,65,12.5,4,3.125,0,174
108,2nd,43593,11月2日,T8,1,18,65,2.2,2,1.1,1,174
108,2nd,43593,11月2日,T8,1,19,65,3.5,3,1.166666667,1,174
108,2nd,43593,11月2日,T8,1,20,65,3.3,3,1.1,1,174
108,2nd,43593,11月2日,T8,2,21,65,13.2,5,2.64,1,170
108,2nd,43593,11月2日,T8,2,22,65,14,5,2.8,0,170
108,2nd,43593,11月2日,T8,2,23,65,4.1,3,1.366666667,1,170
108,2nd,43593,11月2日,T8,2,24,65,7.7,5,1.54,1,170
108,2nd,43593,11月2日,T8,2,25,65,7.4,4,1.85,1,170
108,2nd,43593,11月2日,T8,2,26,65,8.3,5,1.66,1,170
108,2nd,43593,11月2日,T8,2,27,65,10.3,4,2.575,0,170
108,2nd,43593,11月2日,T8,2,28,65,7.2,4,1.8,1,170
108,2nd,43593,11月2日,T8,2,29,65,3.2,3,1.066666667,1,170
108,2nd,43593,11月2日,T8,2,30,65,1.7,2,0.85,1,170
108,2nd,43581,6區,T12,2,4,57,3.8,3,1.266666667,1,170
108,2nd,43581,6區,T12,2,2,57,6.6,3,2.2,1,170
108,2nd,43581,6區,T12,2,3,57,6.8,4,1.7,1,170
108,2nd,43581,6區,T12,2,5,57,7.4,4,1.85,1,170
108,2nd,43581,6區,T12,2,9,57,7.5,4,1.875,1,170
108,2nd,43581,6區,T12,2,1,57,8.5,3,2.833333333,0,108
108,2nd,43581,6區,T12,2,7,57,8.7,3,2.9,0,108
108,2nd,43581,6區,T12,2,8,57,9,3,3,0,108
108,2nd,43581,6區,T12,2,10,57,12.8,4,3.2,0,108
108,2nd,43581,6區,T12,2,6,57,12.9,5,2.58,0,108
108,2nd,43581,6區,T12,1,15,57,4.7,3,1.566666667,0,108
108,2nd,43581,6區,T12,1,11,57,7.8,3,2.6,0,110
108,2nd,43581,6區,T12,1,13,57,8,5,1.6,1,110
108,2nd,43581,6區,T12,1,18,57,8.6,4,2.15,0,110
108,2nd,43581,6區,T12,1,19,57,10.2,4,2.55,1,110
108,2nd,43581,6區,T12,1,14,57,10.3,3,3.433333333,0,110
108,2nd,43581,6區,T12,1,12,57,11,4,2.75,0,110
108,2nd,43581,6區,T12,1,17,57,11.1,5,2.22,1,110
108,2nd,43581,6區,T12,1,16,57,12.2,4,3.05,0,110
108,2nd,43581,6區,T12,1,20,57,12.2,4,3.05,0,110
108,2nd,43581,6區,T12,3,27,57,3.3,3,1.1,1,110
108,2nd,43581,6區,T12,3,30,57,5,4,1.25,1,110
108,2nd,43581,6區,T12,3,21,57,6.5,4,1.625,0,135
108,2nd,43581,6區,T12,3,28,57,7.7,5,1.54,1,135
108,2nd,43581,6區,T12,3,24,57,9.6,3,3.2,1,135
108,2nd,43581,6區,T12,3,25,57,10.5,4,2.625,0,135
108,2nd,43581,6區,T12,3,26,57,15.3,5,3.06,0,135
108,2nd,43581,6區,T12,3,22,57,17,5,3.4,0,135
108,2nd,43581,6區,T12,3,29,57,18.8,5,3.76,0,135
