date,cultivar,location,season,cutting_height,replication,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100,sample_label
43593,台茶8號,11月2日,第二水,65,1,6.8,3,2.266666667,0,161,茶菁3
43593,台茶8號,11月2日,第二水,65,2,4.5,3,1.5,0,161,茶菁3
43593,台茶8號,11月2日,第二水,65,3,7.3,4,1.825,1,161,茶菁3
43593,台茶8號,11月2日,第二水,65,4,6,4,1.5,1,161,茶菁3
43593,台茶8號,11月2日,第二水,65,5,8.3,5,1.66,1,161,茶菁3
43593,台茶8號,11月2日,第二水,65,6,5.8,3,1.933333333,1,161,茶菁3
43593,台茶8號,11月2日,第二水,65,7,4.9,4,1.225,1,161,茶菁3
43593,台茶8號,11月2日,第二水,65,8,13.2,5,2.64,0,161,茶菁3
43593,台茶8號,11月2日,第二水,65,9,2.9,3,0.966666667,1,161,茶菁3
43593,台茶8號,11月2日,第二水,65,10,13.2,5,2.64,0,161,茶菁3
43593,台茶8號,11月2日,第二水,65,NA,7.29,3.9,1.815666667,0.6,161,茶菁3
43593,台茶8號,11月2日,第二水,65,11,14.9,5,2.98,1,174,茶菁1
43593,台茶8號,11月2日,第二水,65,12,11.8,5,2.36,1,174,茶菁1
43593,台茶8號,11月2日,第二水,65,13,4.7,2,2.35,0,174,茶菁1
43593,台茶8號,11月2日,第二水,65,14,7,3,2.333333333,1,174,茶菁1
43593,台茶8號,11月2日,第二水,65,15,17.3,5,3.46,0,174,茶菁1
43593,台茶8號,11月2日,第二水,65,16,7.7,3,2.566666667,0,174,茶菁1
43593,台茶8號,11月2日,第二水,65,17,12.5,4,3.125,0,174,茶菁1
43593,台茶8號,11月2日,第二水,65,18,2.2,2,1.1,1,174,茶菁1
43593,台茶8號,11月2日,第二水,65,19,3.5,3,1.166666667,1,174,茶菁1
43593,台茶8號,11月2日,第二水,65,20,3.3,3,1.1,1,174,茶菁1
43593,台茶8號,11月2日,第二水,65,NA,8.49,3.5,2.254166667,0.6,174,茶菁1
43593,台茶8號,11月2日,第二水,65,21,13.2,5,2.64,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,22,14,5,2.8,0,170,茶菁2
43593,台茶8號,11月2日,第二水,65,23,4.1,3,1.366666667,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,24,7.7,5,1.54,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,25,7.4,4,1.85,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,26,8.3,5,1.66,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,27,10.3,4,2.575,0,170,茶菁2
43593,台茶8號,11月2日,第二水,65,28,7.2,4,1.8,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,29,3.2,3,1.066666667,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,30,1.7,2,0.85,1,170,茶菁2
43593,台茶8號,11月2日,第二水,65,NA,7.71,4,1.814833333,0.8,170,茶菁2
43581,台茶12號,6區,第二水,57,4,3.8,3,1.266666667,1,170,茶菁2
43581,台茶12號,6區,第二水,57,2,6.6,3,2.2,1,170,茶菁2
43581,台茶12號,6區,第二水,57,3,6.8,4,1.7,1,170,茶菁2
43581,台茶12號,6區,第二水,57,5,7.4,4,1.85,1,170,茶菁2
43581,台茶12號,6區,第二水,57,9,7.5,4,1.875,1,170,茶菁2
43581,台茶12號,6區,第二水,57,1,8.5,3,2.833333333,NA,108,茶菁2
43581,台茶12號,6區,第二水,57,7,8.7,3,2.9,0,108,茶菁2
43581,台茶12號,6區,第二水,57,8,9,3,3,0,108,茶菁2
43581,台茶12號,6區,第二水,57,10,12.8,4,3.2,0,108,茶菁2
43581,台茶12號,6區,第二水,57,6,12.9,5,2.58,0,108,茶菁2
43581,台茶12號,6區,第二水,57,NA,8.4,3.6,2.3405,0.555555556,108,茶菁2
43581,台茶12號,6區,第二水,57,15,4.7,3,1.566666667,0,108,茶菁1
43581,台茶12號,6區,第二水,57,11,7.8,3,2.6,0,110,茶菁1
43581,台茶12號,6區,第二水,57,13,8,5,1.6,1,110,茶菁1
43581,台茶12號,6區,第二水,57,18,8.6,4,2.15,0,110,茶菁1
43581,台茶12號,6區,第二水,57,19,10.2,4,2.55,1,110,茶菁1
43581,台茶12號,6區,第二水,57,14,10.3,3,3.433333333,0,110,茶菁1
43581,台茶12號,6區,第二水,57,12,11,4,2.75,0,110,茶菁1
43581,台茶12號,6區,第二水,57,17,11.1,5,2.22,1,110,茶菁1
43581,台茶12號,6區,第二水,57,16,12.2,4,3.05,0,110,茶菁1
43581,台茶12號,6區,第二水,57,20,12.2,4,3.05,0,110,茶菁1
43581,台茶12號,6區,第二水,57,NA,10.15555556,4,2.497,0.333333333,110,茶菁3
43581,台茶12號,6區,第二水,57,27,3.3,3,1.1,1,110,茶菁3
43581,台茶12號,6區,第二水,57,30,5,4,1.25,1,110,茶菁3
43581,台茶12號,6區,第二水,57,21,6.5,4,1.625,0,135,茶菁3
