"date","cultivar","location","season","cutting_height","replication","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100","sample_label"
"43886","台茶12號","6區","第一水",53,"1",6.1,4,1.525,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"2",3.3,3,1.1,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"3",18.8,6,3.13333333333333,0,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"4",4.2,4,1.05,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"5",7.8,5,1.56,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"6",1,2,0.5,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"7",11,5,2.2,0,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"8",4.7,5,0.94,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"9",13.8,6,2.3,0,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"10",3.4,3,1.13333333333333,1,118,"茶菁1"
"43886","台茶12號","6區","第一水",53,"11",10,5,2,1,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"12",7.8,5,1.56,0,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"13",12.1,5,2.42,0,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"14",3.6,4,0.9,1,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"15",7.3,4,1.825,0,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"16",2.5,3,0.833333333333333,1,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"17",7.6,5,1.52,1,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"18",7.1,5,1.42,0,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"19",5.6,4,1.4,1,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"20",6.7,4,1.675,1,121.7,"茶菁2"
"43886","台茶12號","6區","第一水",53,"21",6.8,4,1.7,1,106.6,"茶菁3"
