"","year","season","date","location","cultivar","sample_label","replication","cutting_height","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100"
"1",108,"2nd","43593","11_2","T8",3,5.5,65,7.29,3.9,1.8156666667,0.6,161
"2",108,"2nd","43593","11_2","T8",1,15.5,65,8.49,3.5,2.2541666667,0.6,174
"3",108,"2nd","43593","11_2","T8",2,25.5,65,7.71,4,1.8148333334,0.8,170
"4",108,"2nd","43581","6","T12",2,5.5,57,8.4,3.6,2.3405,0.5,139
"5",108,"2nd","43581","6","T12",1,15.5,57,9.61,3.9,2.497,0.3,109.8
"6",108,"2nd","43581","6","T12",3,25.5,57,12.23,4.5,2.5645714286,0.4,130
"7",108,"2nd","43584","3","T17",2,5.5,58,5.88,4.4,1.3108333333,0.5,99
"8",108,"2nd","43584","3","T17",3,15.5,58,7.67,4.7,1.5646666667,0.7,114
"9",108,"2nd","43584","3","T17",1,25.5,58,6.01,4.5,1.2221666667,0.7,128
"10",108,"2nd","43601","12_1","T18",3,5.5,58,13.64,4.9,2.6557857143,0.3,214.5
"11",108,"2nd","43601","12_1","T18",2,15.5,58,8.92,4,2.0545,0.5,161
"12",108,"2nd","43601","12_1","T18",1,25.5,58,10.19,4.6,2.1376666667,0.5,165
"13",108,"2nd","43595","11_1","T20",1,5.5,57,9.68,4.3,2.1260714286,0.9,123.5
"14",108,"2nd","43595","11_1","T20",2,15.5,57,7.41,3.9,1.825,0.8,124.5
"15",108,"2nd","43595","11_1","T20",3,25.5,57,8.87,4,2.0793333334,0.9,138.5
"16",108,"2nd","43598","9-2, 9-3","DP",3,5.5,60,9.32,4.2,2.0631428571,0.5,127
"17",108,"2nd","43598","9-2, 9-3","DP",2,15.5,60,8.08,3.7,1.9806666666,0.6,116
"18",108,"2nd","43598","9-2, 9-3","DP",1,25.5,60,9.31,3.6,2.4823333333,0.5,112
"19",108,"2nd","43583","5","FS",2,5.5,53,16.76,5.8,2.8380555557,0.2,204
"20",108,"2nd","43583","5","FS",3,15.5,53,17.26,5.4,3.1309761905,0.1,213
"21",108,"2nd","43583","5","FS",1,25.5,53,13.37,4.7,2.7780714287,0.2,211
"22",108,"3rd","43652","10_2","T8",1,5.5,67,6.71,3.3,1.8483333333,0.8,149.9
"23",108,"3rd","43652","10_2","T8",2,15.5,67,6.28,3.2,1.754047619,0.8,127.8
"24",108,"3rd","43652","10_2","T8",3,25.5,67,7.93,3.7,2.0851666667,1,162.1
"25",108,"3rd","43635","6-3¡B6-4","T12",1,5.5,57,11.27,5.7,1.9824285713,0.2,122
"26",108,"3rd","43635","6-3¡B6-4","T12",2,15.5,57,10.89,5.5,1.9954523809,0.3,118
"27",108,"3rd","43635","6-3¡B6-4","T12",3,25.5,57,15.44,6.1,2.4269047619,0,165.5
"28",108,"3rd","43640","3-2¡B3-3","T17",3,5.5,58,7.25,5.8,1.266452381,0.8,107.5
"29",108,"3rd","43640","3-2¡B3-3","T17",1,15.5,58,6.05,5,1.1282261905,0.5,105
"30",108,"3rd","43640","3-2¡B3-3","T17",2,25.5,58,5.64,5.6,0.9552857143,0.8,84.3
"31",108,"3rd","43663","23","T18",1,5.5,64,9.41,4.2,2.0446666666,0.5,163.7
"32",108,"3rd","43663","23","T18",2,15.5,64,10.33,4.6,2.2003333334,0.8,177.5
"33",108,"3rd","43663","23","T18",3,25.5,64,7.54,3.8,1.759,0.8,159.6
"34",108,"3rd","43647","11_1","T20",1,5.5,57,7.95,3.8,1.9168333334,0.6,118.7
"35",108,"3rd","43647","11_1","T20",2,15.5,57,9.48,4.6,1.9763333334,0.4,109.7
"36",108,"3rd","43647","11_1","T20",3,25.5,57,8.14,4.2,1.8606666666,0.6,107.1
"37",108,"3rd","7/8(¯ùµ×1)¡B7/10(¯ùµ×2¡B3)","10_1","DP",1,5.5,62,11.36,4.8,2.3160238095,0.7,139.8
"38",108,"3rd","7/8(¯ùµ×1)¡B7/10(¯ùµ×2¡B3)","10_1","DP",2,15.5,62,10.36,4.6,2.0840952381,0.5,145.6
"39",108,"3rd","7/8(¯ùµ×1)¡B7/10(¯ùµ×2¡B3)","10_1","DP",3,25.5,62,11.15,4.9,2.1567142857,0.5,142.2
"40",108,"3rd","43637","5","FS",3,5.5,53,11.03,4.9,2.1925000001,0,146
"41",108,"3rd","43637","5","FS",2,15.5,53,11.65,5.2,2.1726666666,0.1,171.5
"42",108,"3rd","43637","5","FS",1,25.5,53,11.36,4.7,2.3109285714,0,167
"43",108,"4th","43705","11_2","T8",1,5.5,70,7.98,5,1.5368333332,1,145.8
"44",108,"4th","43705","11_2","T8",2,15.5,70,9.85,4.8,1.9964999999,1,172.1
"45",108,"4th","43705","11_2","T8",3,25.5,70,8.99,4.5,1.9311666666,0.9,145.1
"46",108,"4th","8/8, 8/12","6-3¡B6-4","T12",1,5.5,57,9.68,4.9,1.9051666667,0.5,86
"47",108,"4th","8/8, 8/12","6-3¡B6-4","T12",2,15.5,57,9.07,4.6,1.8758095238,0.7,87.4
"48",108,"4th","8/8, 8/12","6-3¡B6-4","T12",3,25.5,57,8.26,4.9,1.6033095238,0.4,117.2
"49",108,"4th","43719","23","T18",1,5.5,61,10.16,4.6,2.1473333333,0.2,141.8
"50",108,"4th","43719","23","T18",2,15.5,61,11.36,4.8,2.2741904762,0.4,148.1
"51",108,"4th","43719","23","T18",3,25.5,61,8.67,4.3,1.925,0.3,135
"52",108,"4th","43682","5-1¡B5-2","FS",1,5.5,53,11.86,5.5,2.1390000001,0.2,134.9
"53",108,"4th","43682","5-1¡B5-2","FS",2,15.5,53,10.1,5.2,1.8543333332,0.4,143.3
"54",108,"4th","43682","5-1¡B5-2","FS",3,25.5,53,10.78,5.2,1.9938809524,0.4,155.6
"55",108,"5th","43761","10_2","T8",1,5.5,65,5.33,3.8,1.2625,0.9,99.4
"56",108,"5th","43761","10_2","T8",2,15.5,65,6.63,4.5,1.422,0.8,97.1
"57",108,"5th","43761","10_2","T8",3,25.5,65,7.29,4.3,1.5188333334,0.7,100.8
"58",108,"5th","43742","6-3¡B6-4","T12",1,5.5,60,10.96,5,2.1388333333,0.4,147.2
"59",108,"5th","43742","6-3¡B6-4","T12",2,15.5,60,10.58,4.8,2.1339999999,0.4,145.8
"60",108,"5th","43742","6-3¡B6-4","T12",3,25.5,60,8.23,4.6,1.7048095238,0.8,103.4
"61",108,"5th","43775","23","T18",1,5.5,59,8.32,5.4,1.4718571429,0.9,126.1
"62",108,"5th","43775","23","T18",2,15.5,59,8.53,5,1.6911666666,0.3,131.6
